ClassName,Name,Description,DefaultValue,Required
org.openapitools.codegen.languages.AdaCodegen,sortParamsByRequiredFlag,Sort method arguments to place required parameters before optional parameters.,,
org.openapitools.codegen.languages.AdaCodegen,ensureUniqueParams,Whether to ensure parameter names are unique in an operation (rename parameters that are not).,,
org.openapitools.codegen.languages.AdaCodegen,allowUnicodeIdentifiers,"boolean, toggles whether unicode identifiers are allowed in names or not, default is false",,
org.openapitools.codegen.languages.AdaCodegen,prependFormOrBodyParameters,Add form or body parameters to the beginning of the parameter list.,,
org.openapitools.codegen.languages.AdaCodegen,projectName,GNAT project name,,
org.openapitools.codegen.languages.AdaServerCodegen,sortParamsByRequiredFlag,Sort method arguments to place required parameters before optional parameters.,,
org.openapitools.codegen.languages.AdaServerCodegen,ensureUniqueParams,Whether to ensure parameter names are unique in an operation (rename parameters that are not).,,
org.openapitools.codegen.languages.AdaServerCodegen,allowUnicodeIdentifiers,"boolean, toggles whether unicode identifiers are allowed in names or not, default is false",,
org.openapitools.codegen.languages.AdaServerCodegen,prependFormOrBodyParameters,Add form or body parameters to the beginning of the parameter list.,,
org.openapitools.codegen.languages.AdaServerCodegen,projectName,GNAT project name,,
org.openapitools.codegen.languages.AndroidClientCodegen,sortParamsByRequiredFlag,Sort method arguments to place required parameters before optional parameters.,,
org.openapitools.codegen.languages.AndroidClientCodegen,ensureUniqueParams,Whether to ensure parameter names are unique in an operation (rename parameters that are not).,,
org.openapitools.codegen.languages.AndroidClientCodegen,allowUnicodeIdentifiers,"boolean, toggles whether unicode identifiers are allowed in names or not, default is false",,
org.openapitools.codegen.languages.AndroidClientCodegen,prependFormOrBodyParameters,Add form or body parameters to the beginning of the parameter list.,,
org.openapitools.codegen.languages.AndroidClientCodegen,modelPackage,package for generated models,,
org.openapitools.codegen.languages.AndroidClientCodegen,apiPackage,package for generated api classes,,
org.openapitools.codegen.languages.AndroidClientCodegen,invokerPackage,root package for generated code,,
org.openapitools.codegen.languages.AndroidClientCodegen,groupId,groupId for use in the generated build.gradle and pom.xml,,
org.openapitools.codegen.languages.AndroidClientCodegen,artifactId,artifactId for use in the generated build.gradle and pom.xml,,
org.openapitools.codegen.languages.AndroidClientCodegen,artifactVersion,artifact version for use in the generated build.gradle and pom.xml,,
org.openapitools.codegen.languages.AndroidClientCodegen,sourceFolder,source folder for generated code,,
org.openapitools.codegen.languages.AndroidClientCodegen,useAndroidMavenGradlePlugin,A flag to toggle android-maven gradle plugin.,,
org.openapitools.codegen.languages.AndroidClientCodegen,androidGradleVersion,gradleVersion version for use in the generated build.gradle,,
org.openapitools.codegen.languages.AndroidClientCodegen,androidSdkVersion,compileSdkVersion version for use in the generated build.gradle,,
org.openapitools.codegen.languages.AndroidClientCodegen,androidBuildToolsVersion,buildToolsVersion version for use in the generated build.gradle,,
org.openapitools.codegen.languages.AndroidClientCodegen,serializableModel,"boolean - toggle ""implements Serializable"" for generated models",,
org.openapitools.codegen.languages.AndroidClientCodegen,library,library template (sub-template) to use,,
org.openapitools.codegen.languages.Apache2ConfigCodegen,sortParamsByRequiredFlag,Sort method arguments to place required parameters before optional parameters.,,
org.openapitools.codegen.languages.Apache2ConfigCodegen,ensureUniqueParams,Whether to ensure parameter names are unique in an operation (rename parameters that are not).,,
org.openapitools.codegen.languages.Apache2ConfigCodegen,allowUnicodeIdentifiers,"boolean, toggles whether unicode identifiers are allowed in names or not, default is false",,
org.openapitools.codegen.languages.Apache2ConfigCodegen,prependFormOrBodyParameters,Add form or body parameters to the beginning of the parameter list.,,
org.openapitools.codegen.languages.Apache2ConfigCodegen,userInfoPath,Path to the user and group files,,
org.openapitools.codegen.languages.ApexClientCodegen,sortParamsByRequiredFlag,Sort method arguments to place required parameters before optional parameters.,,
org.openapitools.codegen.languages.ApexClientCodegen,ensureUniqueParams,Whether to ensure parameter names are unique in an operation (rename parameters that are not).,,
org.openapitools.codegen.languages.ApexClientCodegen,allowUnicodeIdentifiers,"boolean, toggles whether unicode identifiers are allowed in names or not, default is false",,
org.openapitools.codegen.languages.ApexClientCodegen,prependFormOrBodyParameters,Add form or body parameters to the beginning of the parameter list.,,
org.openapitools.codegen.languages.ApexClientCodegen,classPrefix,Prefix for generated classes. Set this to avoid overwriting existing classes in your org.,,
org.openapitools.codegen.languages.ApexClientCodegen,apiVersion,The Metadata API version number to use for components in this package.,,
org.openapitools.codegen.languages.ApexClientCodegen,buildMethod,The build method for this package.,,
org.openapitools.codegen.languages.ApexClientCodegen,namedCredential,The named credential name for the HTTP callouts,,
org.openapitools.codegen.languages.AspNetCoreServerCodegen,packageName,C# package name (convention: Title.Case).,,
org.openapitools.codegen.languages.AspNetCoreServerCodegen,packageVersion,C# package version.,,
org.openapitools.codegen.languages.AspNetCoreServerCodegen,packageGuid,The GUID that will be associated with the C# project,,
org.openapitools.codegen.languages.AspNetCoreServerCodegen,sourceFolder,source folder for generated code,,
org.openapitools.codegen.languages.AspNetCoreServerCodegen,aspnetCoreVersion,"ASP.NET Core version: 2.1 (default), 2.0 (deprecated)",,
org.openapitools.codegen.languages.AspNetCoreServerCodegen,sortParamsByRequiredFlag,Sort method arguments to place required parameters before optional parameters.,,
org.openapitools.codegen.languages.AspNetCoreServerCodegen,useDateTimeOffset,Use DateTimeOffset to model date-time properties,,
org.openapitools.codegen.languages.AspNetCoreServerCodegen,useCollection,Deserialize array types to Collection<T> instead of List<T>.,,
org.openapitools.codegen.languages.AspNetCoreServerCodegen,returnICollection,Return ICollection<T> instead of the concrete type.,,
org.openapitools.codegen.languages.AspNetCoreServerCodegen,useSwashbuckle,Uses the Swashbuckle.AspNetCore NuGet package for documentation.,,
org.openapitools.codegen.languages.BashClientCodegen,sortParamsByRequiredFlag,Sort method arguments to place required parameters before optional parameters.,,
org.openapitools.codegen.languages.BashClientCodegen,ensureUniqueParams,Whether to ensure parameter names are unique in an operation (rename parameters that are not).,,
org.openapitools.codegen.languages.BashClientCodegen,allowUnicodeIdentifiers,"boolean, toggles whether unicode identifiers are allowed in names or not, default is false",,
org.openapitools.codegen.languages.BashClientCodegen,prependFormOrBodyParameters,Add form or body parameters to the beginning of the parameter list.,,
org.openapitools.codegen.languages.BashClientCodegen,curlOptions,Default cURL options,,
org.openapitools.codegen.languages.BashClientCodegen,processMarkdown,Convert all Markdown Markup into terminal formatting,,
