ClassName,Type,ReportedName,DerivedDisplayName,DisplayName,Suppressed,Deleted,Changed,New,Vetted
org.openapitools.codegen.languages.AdaCodegen,CLIENT,ada,Ada Client,,,,*,,*
org.openapitools.codegen.languages.AdaServerCodegen,SERVER,ada-server,Ada Server,,,,,,*
org.openapitools.codegen.languages.AndroidClientCodegen,CLIENT,android,Android Client,,,,,,*
org.openapitools.codegen.languages.Apache2ConfigCodegen,CONFIG,apache2,Apache2 Configuration,Apache v2 Configuration,,,,,*
org.openapitools.codegen.languages.ApexClientCodegen,CLIENT,apex,Apex Client,,,,,,*
org.openapitools.codegen.languages.AspNetCoreServerCodegen,SERVER,aspnetcore,Asp Net Core Server,C# ASP.Net Core Server,,,,,*
org.openapitools.codegen.languages.BashClientCodegen,CLIENT,bash,Bash Client,,,,,,*
org.openapitools.codegen.languages.CLibcurlClientCodegen,CLIENT,c,CLibcurl Client,C libcurl Client,,,*,*,*
org.openapitools.codegen.languages.CSharpClientCodegen,CLIENT,csharp,CSharp Client,C# Client,,,,,*
org.openapitools.codegen.languages.CSharpDotNet2ClientCodegen,CLIENT,csharp-dotnet2,CSharp Dot Net2 Client,C# Client for .NET v2,,,,,*
org.openapitools.codegen.languages.CSharpNancyFXServerCodegen,SERVER,csharp-nancyfx,CSharp Nancy FX Server,C# NancyFx Server,,,,,*
org.openapitools.codegen.languages.CSharpRefactorClientCodegen,CLIENT,csharp-refactor,CSharp Refactor Client,C# Client (Refactor),,,*,*,*
org.openapitools.codegen.languages.ClojureClientCodegen,CLIENT,clojure,Clojure Client,,,,,,*
org.openapitools.codegen.languages.ConfluenceWikiCodegen,DOCUMENTATION,cwiki,Confluence Wiki Documentation,,,,,,*
org.openapitools.codegen.languages.CppPistacheServerCodegen,SERVER,cpp-pistache-server,Cpp Pistache Server,C++ Pistache Server,,,,,*
org.openapitools.codegen.languages.CppQt5ClientCodegen,CLIENT,cpp-qt5,Cpp Qt5 Client,C++ QT5 Client,,,,,*
org.openapitools.codegen.languages.CppQt5QHttpEngineServerCodegen,SERVER,cpp-qt5-qhttpengine-server,Cpp Qt5QHttp Engine Server,C++ QT5 QHTTPEngine Server,,,*,*,*
org.openapitools.codegen.languages.CppRestClientCodegen,CLIENT,cpp-restsdk,Cpp Rest Client,C++ Client,,*,*,,
org.openapitools.codegen.languages.CppRestSdkClientCodegen,CLIENT,cpp-restsdk,Cpp Rest Sdk Client,C++ REST SDK Client,,,*,*,*
org.openapitools.codegen.languages.CppRestbedServerCodegen,SERVER,cpp-restbed-server,Cpp Restbed Server,C++ Restbed Server,,,,,*
org.openapitools.codegen.languages.CppTizenClientCodegen,CLIENT,cpp-tizen,Cpp Tizen Client,C++ Tizen Client,,,,,*
org.openapitools.codegen.languages.DartClientCodegen,CLIENT,dart,Dart Client,,,,,,*
org.openapitools.codegen.languages.DartJaguarClientCodegen,CLIENT,dart-jaguar,Dart Jaguar Client,,,,*,*,*
org.openapitools.codegen.languages.EiffelClientCodegen,CLIENT,eiffel,Eiffel Client,,,,,,*
org.openapitools.codegen.languages.ElixirClientCodegen,CLIENT,elixir,Elixir Client,,,,,,*
org.openapitools.codegen.languages.ElmClientCodegen,CLIENT,elm,Elm Client,,,,,,*
org.openapitools.codegen.languages.ErlangClientCodegen,CLIENT,erlang-client,Erlang Client,,,,,,*
org.openapitools.codegen.languages.ErlangProperCodegen,CLIENT,erlang-proper,Erlang Proper Client,Erlang PropEr Client,,,*,*,*
org.openapitools.codegen.languages.ErlangServerCodegen,SERVER,erlang-server,Erlang Server,,,,,,*
org.openapitools.codegen.languages.FinchServerCodegen,SERVER,scala-finch,Finch Server,Scala Finch Server,,,,,*
org.openapitools.codegen.languages.FlashClientCodegen,CLIENT,flash,Flash Client,,,,,,*
org.openapitools.codegen.languages.GoClientCodegen,CLIENT,go,Go Client,,,,,,*
org.openapitools.codegen.languages.GoGinServerCodegen,SERVER,go-gin-server,Go Gin Server,,,,*,*,*
org.openapitools.codegen.languages.GoServerCodegen,SERVER,go-server,Go Server,,,,,,*
org.openapitools.codegen.languages.GroovyClientCodegen,CLIENT,groovy,Groovy Client,,,,,,*
org.openapitools.codegen.languages.HaskellHttpClientCodegen,CLIENT,haskell-http-client,Haskell Http Client,Haskell HTTP Client,,,,,*
org.openapitools.codegen.languages.HaskellServantCodegen,SERVER,haskell,Haskell Servant Server,,,,,,*
org.openapitools.codegen.languages.JMeterClientCodegen,CLIENT,jmeter,JMeter Client,,,,*,*,*
