ClassName,Name,Description,DefaultValue,Required
io.swagger.codegen.languages.AdaCodegen,sortParamsByRequiredFlag,Sort method arguments to place required parameters before optional parameters.,,
io.swagger.codegen.languages.AdaCodegen,ensureUniqueParams,Whether to ensure parameter names are unique in an operation (rename parameters that are not).,,
io.swagger.codegen.languages.AdaCodegen,allowUnicodeIdentifiers,"boolean, toggles whether unicode identifiers are allowed in names or not, default is false",,
io.swagger.codegen.languages.AdaCodegen,projectName,GNAT project name,,
io.swagger.codegen.languages.AdaServerCodegen,sortParamsByRequiredFlag,Sort method arguments to place required parameters before optional parameters.,,
io.swagger.codegen.languages.AdaServerCodegen,ensureUniqueParams,Whether to ensure parameter names are unique in an operation (rename parameters that are not).,,
io.swagger.codegen.languages.AdaServerCodegen,allowUnicodeIdentifiers,"boolean, toggles whether unicode identifiers are allowed in names or not, default is false",,
io.swagger.codegen.languages.AdaServerCodegen,projectName,GNAT project name,,
io.swagger.codegen.languages.AkkaScalaClientCodegen,sortParamsByRequiredFlag,Sort method arguments to place required parameters before optional parameters.,,
io.swagger.codegen.languages.AkkaScalaClientCodegen,ensureUniqueParams,Whether to ensure parameter names are unique in an operation (rename parameters that are not).,,
io.swagger.codegen.languages.AkkaScalaClientCodegen,allowUnicodeIdentifiers,"boolean, toggles whether unicode identifiers are allowed in names or not, default is false",,
io.swagger.codegen.languages.AkkaScalaClientCodegen,modelPackage,package for generated models,,
io.swagger.codegen.languages.AkkaScalaClientCodegen,apiPackage,package for generated api classes,,
io.swagger.codegen.languages.AkkaScalaClientCodegen,sourceFolder,source folder for generated code,,
io.swagger.codegen.languages.AndroidClientCodegen,sortParamsByRequiredFlag,Sort method arguments to place required parameters before optional parameters.,,
io.swagger.codegen.languages.AndroidClientCodegen,ensureUniqueParams,Whether to ensure parameter names are unique in an operation (rename parameters that are not).,,
io.swagger.codegen.languages.AndroidClientCodegen,allowUnicodeIdentifiers,"boolean, toggles whether unicode identifiers are allowed in names or not, default is false",,
io.swagger.codegen.languages.AndroidClientCodegen,modelPackage,package for generated models,,
io.swagger.codegen.languages.AndroidClientCodegen,apiPackage,package for generated api classes,,
io.swagger.codegen.languages.AndroidClientCodegen,invokerPackage,root package for generated code,,
io.swagger.codegen.languages.AndroidClientCodegen,groupId,groupId for use in the generated build.gradle and pom.xml,,
io.swagger.codegen.languages.AndroidClientCodegen,artifactId,artifactId for use in the generated build.gradle and pom.xml,,
io.swagger.codegen.languages.AndroidClientCodegen,artifactVersion,artifact version for use in the generated build.gradle and pom.xml,,
io.swagger.codegen.languages.AndroidClientCodegen,sourceFolder,source folder for generated code,,
io.swagger.codegen.languages.AndroidClientCodegen,useAndroidMavenGradlePlugin,A flag to toggle android-maven gradle plugin.,,
io.swagger.codegen.languages.AndroidClientCodegen,androidGradleVersion,gradleVersion version for use in the generated build.gradle,,
io.swagger.codegen.languages.AndroidClientCodegen,androidSdkVersion,compileSdkVersion version for use in the generated build.gradle,,
io.swagger.codegen.languages.AndroidClientCodegen,androidBuildToolsVersion,buildToolsVersion version for use in the generated build.gradle,,
io.swagger.codegen.languages.AndroidClientCodegen,serializableModel,"boolean - toggle ""implements Serializable"" for generated models",,
io.swagger.codegen.languages.AndroidClientCodegen,library,library template (sub-template) to use,,
io.swagger.codegen.languages.Apache2ConfigCodegen,sortParamsByRequiredFlag,Sort method arguments to place required parameters before optional parameters.,,
io.swagger.codegen.languages.Apache2ConfigCodegen,ensureUniqueParams,Whether to ensure parameter names are unique in an operation (rename parameters that are not).,,
io.swagger.codegen.languages.Apache2ConfigCodegen,allowUnicodeIdentifiers,"boolean, toggles whether unicode identifiers are allowed in names or not, default is false",,
io.swagger.codegen.languages.Apache2ConfigCodegen,userInfoPath,Path to the user and group files,,
io.swagger.codegen.languages.ApexClientCodegen,sortParamsByRequiredFlag,Sort method arguments to place required parameters before optional parameters.,,
io.swagger.codegen.languages.ApexClientCodegen,ensureUniqueParams,Whether to ensure parameter names are unique in an operation (rename parameters that are not).,,
io.swagger.codegen.languages.ApexClientCodegen,allowUnicodeIdentifiers,"boolean, toggles whether unicode identifiers are allowed in names or not, default is false",,
io.swagger.codegen.languages.ApexClientCodegen,modelPackage,package for generated models,,
