ClassName,Type,ReportedName,DerivedDisplayName,DisplayName,Suppressed,Discovered,Changed
io.swagger.codegen.languages.AdaCodegen,CLIENT,ada,Ada Client,,,*,
io.swagger.codegen.languages.AdaServerCodegen,SERVER,ada-server,Ada Server,,,*,
io.swagger.codegen.languages.AkkaScalaClientCodegen,CLIENT,akka-scala,Akka Scala Client,,,*,
io.swagger.codegen.languages.AndroidClientCodegen,CLIENT,android,Android Client,,,*,
io.swagger.codegen.languages.Apache2ConfigCodegen,CONFIG,apache2,Apache2 Configuration,,,*,
io.swagger.codegen.languages.ApexClientCodegen,CLIENT,apex,Apex Client,,,*,
io.swagger.codegen.languages.AspNetCoreServerCodegen,SERVER,aspnetcore,Asp Net Core Server,,,*,
io.swagger.codegen.languages.BashClientCodegen,CLIENT,bash,Bash Client,,,*,
io.swagger.codegen.languages.CSharpClientCodegen,CLIENT,csharp,CSharp Client,,,*,
io.swagger.codegen.languages.ClojureClientCodegen,CLIENT,clojure,Clojure Client,,,*,
io.swagger.codegen.languages.ConfluenceWikiGenerator,DOCUMENTATION,cwiki,Confluence Wiki Documentation,,,*,
io.swagger.codegen.languages.CppRestClientCodegen,CLIENT,cpprest,Cpp Rest Client,,,*,
io.swagger.codegen.languages.CsharpDotNet2ClientCodegen,CLIENT,csharp-dotnet2,Csharp Dot Net2 Client,,,*,
io.swagger.codegen.languages.DartClientCodegen,CLIENT,dart,Dart Client,,,*,
io.swagger.codegen.languages.EiffelClientCodegen,CLIENT,eiffel,Eiffel Client,,,*,
io.swagger.codegen.languages.ElixirClientCodegen,CLIENT,elixir,Elixir Client,,,*,
io.swagger.codegen.languages.ElmClientCodegen,CLIENT,elm,Elm Client,,,*,
io.swagger.codegen.languages.ErlangClientCodegen,CLIENT,erlang-client,Erlang Client,,,*,
io.swagger.codegen.languages.ErlangServerCodegen,SERVER,erlang-server,Erlang Server,,,*,
io.swagger.codegen.languages.FinchServerCodegen,SERVER,finch,Finch Server,,,*,
io.swagger.codegen.languages.FlashClientCodegen,CLIENT,flash,Flash Client,,,*,
io.swagger.codegen.languages.FlaskConnexionCodegen,SERVER,python-flask,Flask Connexion Server,,,*,
io.swagger.codegen.languages.GoClientCodegen,CLIENT,go,Go Client,,,*,
io.swagger.codegen.languages.GoServerCodegen,SERVER,go-server,Go Server,,,*,
io.swagger.codegen.languages.GroovyClientCodegen,CLIENT,groovy,Groovy Client,,,*,
io.swagger.codegen.languages.HaskellHttpClientCodegen,CLIENT,haskell-http-client,Haskell Http Client,,,*,
io.swagger.codegen.languages.HaskellServantCodegen,SERVER,haskell,Haskell Servant Server,,,*,
io.swagger.codegen.languages.JMeterCodegen,CLIENT,jmeter,JMeter Client,,,*,
io.swagger.codegen.languages.JavaCXFClientCodegen,CLIENT,jaxrs-cxf-client,Java CXF Client,,,*,
io.swagger.codegen.languages.JavaCXFServerCodegen,SERVER,jaxrs-cxf,Java CXF Server,,,*,
io.swagger.codegen.languages.JavaClientCodegen,CLIENT,java,Java Client,,,*,
io.swagger.codegen.languages.JavaInflectorServerCodegen,SERVER,inflector,Java Inflector Server,,,*,
io.swagger.codegen.languages.JavaJAXRSCXFCDIServerCodegen,SERVER,jaxrs-cxf-cdi,Java JAXRSCXFCDI Server,,,*,
io.swagger.codegen.languages.JavaJAXRSSpecServerCodegen,SERVER,jaxrs-spec,Java JAXRSSpec Server,,,*,
io.swagger.codegen.languages.JavaJerseyServerCodegen,SERVER,jaxrs,Java Jersey Server,,,*,
io.swagger.codegen.languages.JavaMSF4JServerCodegen,SERVER,msf4j,Java MSF4J Server,,,*,
io.swagger.codegen.languages.JavaPKMSTServerCodegen,SERVER,java-pkmst,Java PKMST Server,,,*,
io.swagger.codegen.languages.JavaPlayFrameworkCodegen,SERVER,java-play-framework,Java Play Framework Server,,,*,
io.swagger.codegen.languages.JavaResteasyEapServerCodegen,SERVER,jaxrs-resteasy-eap,Java Resteasy Eap Server,,,*,
io.swagger.codegen.languages.JavaResteasyServerCodegen,SERVER,jaxrs-resteasy,Java Resteasy Server,,,*,
io.swagger.codegen.languages.JavaVertXServerCodegen,SERVER,java-vertx,Java Vert X Server,,,*,
io.swagger.codegen.languages.JavascriptClientCodegen,CLIENT,javascript,Javascript Client,,,*,
io.swagger.codegen.languages.JavascriptClosureAngularClientCodegen,CLIENT,javascript-closure-angular,Javascript Closure Angular Client,,,*,
io.swagger.codegen.languages.KotlinClientCodegen,CLIENT,kotlin,Kotlin Client,,,*,
io.swagger.codegen.languages.LuaClientCodegen,CLIENT,lua,Lua Client,,,*,
io.swagger.codegen.languages.LumenServerCodegen,SERVER,lumen,Lumen Server,,,*,
io.swagger.codegen.languages.NancyFXServerCodegen,SERVER,nancyfx,Nancy FX Server,,,*,
io.swagger.codegen.languages.NodeJSServerCodegen,SERVER,nodejs-server,Node JS Server,,,*,
io.swagger.codegen.languages.ObjcClientCodegen,CLIENT,objc,Objc Client,,,*,
io.swagger.codegen.languages.PerlClientCodegen,CLIENT,perl,Perl Client,,,*,
io.swagger.codegen.languages.PhpClientCodegen,CLIENT,php,Php Client,,,*,
io.swagger.codegen.languages.PistacheServerCodegen,SERVER,pistache-server,Pistache Server,,,*,
io.swagger.codegen.languages.PowerShellClientCodegen,CLIENT,powershell,Power Shell Client,,,*,
io.swagger.codegen.languages.PythonClientCodegen,CLIENT,python,Python Client,,,*,
io.swagger.codegen.languages.Qt5CPPGenerator,CLIENT,qt5cpp,Qt5CPP Client,,,*,
io.swagger.codegen.languages.RClientCodegen,CLIENT,r,R Client,,,*,
io.swagger.codegen.languages.Rails5ServerCodegen,SERVER,rails5,Rails5 Server,,,*,
io.swagger.codegen.languages.RestbedCodegen,SERVER,restbed,Restbed Server,,,*,
io.swagger.codegen.languages.RubyClientCodegen,CLIENT,ruby,Ruby Client,,,*,
io.swagger.codegen.languages.RustClientCodegen,CLIENT,rust,Rust Client,,,*,
io.swagger.codegen.languages.RustServerCodegen,SERVER,rust-server,Rust Server,,,*,
io.swagger.codegen.languages.ScalaClientCodegen,CLIENT,scala,Scala Client,,,*,
io.swagger.codegen.languages.ScalaLagomServerCodegen,SERVER,scala-lagom-server,Scala Lagom Server,,,*,
io.swagger.codegen.languages.ScalatraServerCodegen,SERVER,scalatra,Scalatra Server,,,*,
