ClassName,Type,ReportedName,DerivedDisplayName,DisplayName,Suppressed,Deleted,Changed,New,Vetted
io.swagger.codegen.languages.AdaCodegen,CLIENT,ada,Ada Client,,,,,,*
io.swagger.codegen.languages.AdaServerCodegen,SERVER,ada-server,Ada Server,,,,,,*
io.swagger.codegen.languages.AkkaScalaClientCodegen,CLIENT,akka-scala,Akka Scala Client,Scala Akka Client,,,,,*
io.swagger.codegen.languages.AndroidClientCodegen,CLIENT,android,Android Client,,,,,,*
io.swagger.codegen.languages.Apache2ConfigCodegen,CONFIG,apache2,Apache2 Configuration,Apache v2 Configuration,,,,,*
io.swagger.codegen.languages.ApexClientCodegen,CLIENT,apex,Apex Client,,,,,,*
io.swagger.codegen.languages.AspNetCoreServerCodegen,SERVER,aspnetcore,Asp Net Core Server,C# ASP.Net Core Server,,,,,*
io.swagger.codegen.languages.BashClientCodegen,CLIENT,bash,Bash Client,,,,,,*
io.swagger.codegen.languages.CSharpClientCodegen,CLIENT,csharp,CSharp Client,C# Client,,,,,*
io.swagger.codegen.languages.ClojureClientCodegen,CLIENT,clojure,Clojure Client,,,,,,*
io.swagger.codegen.languages.ConfluenceWikiGenerator,DOCUMENTATION,cwiki,Confluence Wiki Documentation,,,,,,*
io.swagger.codegen.languages.CppRestClientCodegen,CLIENT,cpprest,Cpp Rest Client,C++ Client,,,,,*
io.swagger.codegen.languages.CsharpDotNet2ClientCodegen,CLIENT,csharp-dotnet2,Csharp Dot Net2 Client,C# for .NET v2 Client,,,,,*
io.swagger.codegen.languages.DartClientCodegen,CLIENT,dart,Dart Client,,,,,,*
io.swagger.codegen.languages.DartJaguarClientCodegen,CLIENT,dart-jaguar,Dart Jaguar Client,,,,*,*,*
io.swagger.codegen.languages.EiffelClientCodegen,CLIENT,eiffel,Eiffel Client,,,,,,*
io.swagger.codegen.languages.ElixirClientCodegen,CLIENT,elixir,Elixir Client,,,,,,*
io.swagger.codegen.languages.ElmClientCodegen,CLIENT,elm,Elm Client,,,,,,*
io.swagger.codegen.languages.ErlangClientCodegen,CLIENT,erlang-client,Erlang Client,,,,,,*
io.swagger.codegen.languages.ErlangServerCodegen,SERVER,erlang-server,Erlang Server,,,,,,*
io.swagger.codegen.languages.FinchServerCodegen,SERVER,finch,Finch Server,Scala Finch Server,,,,,*
io.swagger.codegen.languages.FlashClientCodegen,CLIENT,flash,Flash Client,,,,,,*
io.swagger.codegen.languages.FlaskConnexionCodegen,SERVER,python-flask,Flask Connexion Server,Python Flask Connexion,,,,,*
io.swagger.codegen.languages.GoClientCodegen,CLIENT,go,Go Client,,,,,,*
io.swagger.codegen.languages.GoServerCodegen,SERVER,go-server,Go Server,,,,,,*
io.swagger.codegen.languages.GroovyClientCodegen,CLIENT,groovy,Groovy Client,,,,,,*
io.swagger.codegen.languages.HaskellHttpClientCodegen,CLIENT,haskell-http-client,Haskell Http Client,Haskell HTTP Client,,,,,*
io.swagger.codegen.languages.HaskellServantCodegen,SERVER,haskell,Haskell Servant Server,,,,,,*
io.swagger.codegen.languages.JMeterCodegen,CLIENT,jmeter,JMeter Client,,,,,,*
io.swagger.codegen.languages.JavaCXFClientCodegen,CLIENT,jaxrs-cxf-client,Java CXF Client,,,,,,*
io.swagger.codegen.languages.JavaCXFServerCodegen,SERVER,jaxrs-cxf,Java CXF Server,Java CXF (JAX-RS) Server,,,,,*
io.swagger.codegen.languages.JavaClientCodegen,CLIENT,java,Java Client,,,,,,*
io.swagger.codegen.languages.JavaInflectorServerCodegen,SERVER,inflector,Java Inflector Server,,,,,,*
io.swagger.codegen.languages.JavaJAXRSCXFCDIServerCodegen,SERVER,jaxrs-cxf-cdi,Java JAXRSCXFCDI Server,Java CXF (JAX-RS + CDI) Server,,,,,*
io.swagger.codegen.languages.JavaJAXRSSpecServerCodegen,SERVER,jaxrs-spec,Java JAXRSSpec Server,Java JAX-RS v2 Server,,,,,*
io.swagger.codegen.languages.JavaJerseyServerCodegen,SERVER,jaxrs,Java Jersey Server,Java Jersey (JAX-RS) Server,,,,,*
io.swagger.codegen.languages.JavaMSF4JServerCodegen,SERVER,msf4j,Java MSF4J Server,,,,,,*
io.swagger.codegen.languages.JavaPKMSTServerCodegen,SERVER,java-pkmst,Java PKMST Server,,,,,,*
io.swagger.codegen.languages.JavaPlayFrameworkCodegen,SERVER,java-play-framework,Java Play Framework Server,,,,,,*
io.swagger.codegen.languages.JavaResteasyEapServerCodegen,SERVER,jaxrs-resteasy-eap,Java Resteasy Eap Server,Java RESTEasy (JAX-RS) Server for JBoss EAP,,,,,*
io.swagger.codegen.languages.JavaResteasyServerCodegen,SERVER,jaxrs-resteasy,Java Resteasy Server,Java RESTEasy (JAX-RS) Server,,,,,*
io.swagger.codegen.languages.JavaVertXServerCodegen,SERVER,java-vertx,Java Vert X Server,Java Vert.x Server,,,,,*
io.swagger.codegen.languages.JavascriptClientCodegen,CLIENT,javascript,Javascript Client,JavaScript Client,,,,,*
io.swagger.codegen.languages.JavascriptClosureAngularClientCodegen,CLIENT,javascript-closure-angular,Javascript Closure Angular Client,JavaScript Closure Angular Client,,,,,*
io.swagger.codegen.languages.KotlinClientCodegen,CLIENT,kotlin,Kotlin Client,,,,,,*
io.swagger.codegen.languages.KotlinServerCodegen,SERVER,kotlin-server,Kotlin Server,,,,*,*,*
io.swagger.codegen.languages.LuaClientCodegen,CLIENT,lua,Lua Client,,,,,,*
io.swagger.codegen.languages.LumenServerCodegen,SERVER,lumen,Lumen Server,PHP Lumen Server,,,,,*
io.swagger.codegen.languages.NancyFXServerCodegen,SERVER,nancyfx,Nancy FX Server,C# for .NET NancyFx Server,,,,,*
io.swagger.codegen.languages.NodeJSServerCodegen,SERVER,nodejs-server,Node JS Server,Node.js Server,,,,,*
io.swagger.codegen.languages.ObjcClientCodegen,CLIENT,objc,Objc Client,Objective-C Client,,,,,*
io.swagger.codegen.languages.PerlClientCodegen,CLIENT,perl,Perl Client,,,,,,*
io.swagger.codegen.languages.PhpClientCodegen,CLIENT,php,Php Client,PHP Client,,,,,*
io.swagger.codegen.languages.PistacheServerCodegen,SERVER,pistache-server,Pistache Server,C++ Pistache Server,,,,,*
io.swagger.codegen.languages.PowerShellClientCodegen,CLIENT,powershell,Power Shell Client,PowerShell Client,,,,,*
