ClassName,Name,Description,DefaultValue,Required
io.swagger.codegen.v3.generators.dotnet.AspNetCoreServerCodegen,packageName,C# package name (convention: Title.Case).,,
io.swagger.codegen.v3.generators.dotnet.AspNetCoreServerCodegen,packageVersion,C# package version.,,
io.swagger.codegen.v3.generators.dotnet.AspNetCoreServerCodegen,packageGuid,The GUID that will be associated with the C# project,,
io.swagger.codegen.v3.generators.dotnet.AspNetCoreServerCodegen,sourceFolder,source folder for generated code,,
io.swagger.codegen.v3.generators.dotnet.AspNetCoreServerCodegen,preserveNewlinesInComments,Preserve newlines in comments,,
io.swagger.codegen.v3.generators.dotnet.AspNetCoreServerCodegen,sortParamsByRequiredFlag,Sort method arguments to place required parameters before optional parameters.,,
io.swagger.codegen.v3.generators.dotnet.AspNetCoreServerCodegen,useDateTimeOffset,Use DateTimeOffset to model date-time properties,,
io.swagger.codegen.v3.generators.dotnet.AspNetCoreServerCodegen,useCollection,Deserialize array types to Collection<T> instead of List<T>.,,
io.swagger.codegen.v3.generators.dotnet.AspNetCoreServerCodegen,returnICollection,Return ICollection<T> instead of the concrete type.,,
io.swagger.codegen.v3.generators.dotnet.CSharpClientCodegen,packageName,C# package name (convention: Title.Case).,,
io.swagger.codegen.v3.generators.dotnet.CSharpClientCodegen,packageVersion,C# package version.,,
io.swagger.codegen.v3.generators.dotnet.CSharpClientCodegen,sourceFolder,source folder for generated code,,
io.swagger.codegen.v3.generators.dotnet.CSharpClientCodegen,packageGuid,The GUID that will be associated with the C# project,,
io.swagger.codegen.v3.generators.dotnet.CSharpClientCodegen,interfacePrefix,Prefix interfaces with a community standard or widely accepted prefix.,,
io.swagger.codegen.v3.generators.dotnet.CSharpClientCodegen,targetFramework,The target .NET framework version.,,
io.swagger.codegen.v3.generators.dotnet.CSharpClientCodegen,modelPropertyNaming,"Naming convention for the property: 'camelCase', 'PascalCase', 'snake_case' and 'original', which keeps the original name",,
io.swagger.codegen.v3.generators.dotnet.CSharpClientCodegen,hideGenerationTimestamp,Hides the generation timestamp when files are generated.,,
io.swagger.codegen.v3.generators.dotnet.CSharpClientCodegen,sortParamsByRequiredFlag,Sort method arguments to place required parameters before optional parameters.,,
io.swagger.codegen.v3.generators.dotnet.CSharpClientCodegen,useDateTimeOffset,Use DateTimeOffset to model date-time properties,,
io.swagger.codegen.v3.generators.dotnet.CSharpClientCodegen,useCollection,Deserialize array types to Collection<T> instead of List<T>.,,
io.swagger.codegen.v3.generators.dotnet.CSharpClientCodegen,returnICollection,Return ICollection<T> instead of the concrete type.,,
io.swagger.codegen.v3.generators.dotnet.CSharpClientCodegen,optionalMethodArgument,"C# Optional method argument, e.g. void square(int x=10) (.net 4.0+ only).",,
io.swagger.codegen.v3.generators.dotnet.CSharpClientCodegen,optionalAssemblyInfo,Generate AssemblyInfo.cs.,,
io.swagger.codegen.v3.generators.dotnet.CSharpClientCodegen,optionalProjectFile,Generate {PackageName}.csproj.,,
io.swagger.codegen.v3.generators.dotnet.CSharpClientCodegen,optionalEmitDefaultValues,Set DataMember's EmitDefaultValue.,,
io.swagger.codegen.v3.generators.dotnet.CSharpClientCodegen,generatePropertyChanged,Specifies a AssemblyDescription for the .NET Framework global assembly attributes stored in the AssemblyInfo file.,,
