ClassName,Type,ReportedName,DerivedDisplayName,DisplayName,Suppressed,Deleted,Changed,New,Vetted
io.swagger.codegen.v3.generators.dotnet.AspNetCoreServerCodegen,SERVER,aspnetcore,Asp Net Core Server,,,,,,
io.swagger.codegen.v3.generators.dotnet.CSharpClientCodegen,CLIENT,csharp,CSharp Client,,,,,,
io.swagger.codegen.v3.generators.dotnet.CsharpDotNet2ClientCodegen,CLIENT,csharp-dotnet2,Csharp Dot Net2 Client,,,,,,
io.swagger.codegen.v3.generators.html.StaticDocCodegen,DOCUMENTATION,dynamic-html,Static Documentation,,,,,,
io.swagger.codegen.v3.generators.html.StaticHtml2Codegen,DOCUMENTATION,html2,Static Html2 Documentation,,,,,,
io.swagger.codegen.v3.generators.html.StaticHtmlCodegen,DOCUMENTATION,html,Static Html Documentation,,,,,,
io.swagger.codegen.v3.generators.java.JavaCXFClientCodegen,CLIENT,jaxrs-cxf-client,Java CXF Client,,,,,,
io.swagger.codegen.v3.generators.java.JavaCXFServerCodegen,SERVER,jaxrs-cxf,Java CXF Server,,,,,,
io.swagger.codegen.v3.generators.java.JavaClientCodegen,CLIENT,java,Java Client,,,,,,
io.swagger.codegen.v3.generators.java.JavaInflectorServerCodegen,SERVER,inflector,Java Inflector Server,,,,,,
io.swagger.codegen.v3.generators.java.JavaJAXRSCXFCDIServerCodegen,SERVER,jaxrs-cxf-cdi,Java JAXRSCXFCDI Server,,,,,,
io.swagger.codegen.v3.generators.java.JavaJAXRSSpecServerCodegen,SERVER,jaxrs-spec,Java JAXRSSpec Server,,,,,,
io.swagger.codegen.v3.generators.java.JavaJerseyDIServerCodegen,SERVER,jaxrs-di,Java Jersey DI Server,,,,,,
io.swagger.codegen.v3.generators.java.JavaJerseyServerCodegen,SERVER,jaxrs-jersey,Java Jersey Server,,,,,,
io.swagger.codegen.v3.generators.java.JavaResteasyEapServerCodegen,SERVER,jaxrs-resteasy-eap,Java Resteasy Eap Server,,,,,,
io.swagger.codegen.v3.generators.java.JavaResteasyServerCodegen,SERVER,jaxrs-resteasy,Java Resteasy Server,,,,,,
io.swagger.codegen.v3.generators.java.SpringCodegen,SERVER,spring,Spring Server,,,,,,
io.swagger.codegen.v3.generators.kotlin.KotlinClientCodegen,CLIENT,kotlin-client,Kotlin Client,,,,,,
io.swagger.codegen.v3.generators.kotlin.KotlinServerCodegen,SERVER,kotlin-server,Kotlin Server,,,,,,
io.swagger.codegen.v3.generators.nodejs.NodeJSServerCodegen,SERVER,nodejs-server,Node JS Server,,,,,,
io.swagger.codegen.v3.generators.openapi.OpenAPIGenerator,DOCUMENTATION,openapi,Open API Documentation,,,,,,
io.swagger.codegen.v3.generators.openapi.OpenAPIYamlGenerator,DOCUMENTATION,openapi-yaml,Open APIYaml Documentation,,,,,,
io.swagger.codegen.v3.generators.php.PhpClientCodegen,CLIENT,php,Php Client,,,,,,
io.swagger.codegen.v3.generators.python.PythonClientCodegen,CLIENT,python,Python Client,,,,*,*,
io.swagger.codegen.v3.generators.scala.AkkaHttpServerCodegen,SERVER,scala-akka-http-server,Akka Http Server,,,,,,
io.swagger.codegen.v3.generators.scala.ScalaClientCodegen,CLIENT,scala,Scala Client,,,,,,
io.swagger.codegen.v3.generators.swift.Swift3Codegen,CLIENT,swift3,Swift3 Client,,,,,,
io.swagger.codegen.v3.generators.swift.Swift4Codegen,CLIENT,swift4,Swift4 Client,,,,,,
io.swagger.codegen.v3.generators.typescript.TypeScriptAngularClientCodegen,CLIENT,typescript-angular,Type Script Angular Client,,,,,,
